"Data";"Instituto";"Lula (PT)";"Geraldo Alckmin (PSDB)";"José Serra (PSDB)";"Garotinho (PMDB)";"Aécio Neves (PSDB)";"FHCPSDB";"Heloísa Helena (PSOL)";"Germano Rigotto (PMDB)";"Pedro Simon (PMDB)";"Votos Nao-Validos";"link";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2006-09-27;"Datafolha";52;41;;;;;;;;7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";7528;"TSE";2;"19635/2006"
2006-09-30;"Datafolha";49;44;;;;;;;;7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";14798;"TSE";2;"20036/2006"
2006-10-06;"Datafolha";50;43;;;;;;;;4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";5811;"TSE";2;"21340/2006"
2006-10-10;"Datafolha";51;40;;;;;;;;4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";2868;"TSE";2;"21972/2006"
2006-10-11;"Ibope";52;40;;;;;;;;4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";3010;"TSE";2;"21883/2006"
2006-10-17;"Datafolha";57;38;;;;;;;;3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";7133;"TSE";2;"22427/2006"
2006-10-25;"Ibope";58;35;;;;;;;;3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";3010;"TSE";2;"23351/2006"
2006-10-25;"Sensus";57,5;33,5;;;;;;;;3,3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";2000;"TSE";3;"23029/2006"
2006-10-28;"Datafolha";58;37;;;;;;;;2;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";12561;"TSE";2;"23522/2006"
2006-10-28;"Ibope";58;36;;;;;;;;6;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/2turno/presidente.jhtm";8680;"TSE";2;"23498/2006"
;"Datafolha";44;;;33;;;;;;24;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Datafolha";36;;50;;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Datafolha";41;40;;;;;;;;20;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Ibope";41;;;33;;;;;;20;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Ibope";35;;48;;;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Ibope";43;;;;29;;;;;28;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Ibope";41;37;;;;;;;;17;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Sensus";43,3;;;;;30,3;;;;26,5;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Sensus";37,6;;41,5;;;;;;;21;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Sensus";43,3;;;;28,1;;;;;28,7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Sensus";42,8;;;28;;;;;;29,3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
;"Sensus";40,8;32,2;;;;;;;;27,1;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
